"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","rt","acc","med_rt"
"sv020005",0,"match",1,"circular","circular",NA,539.289270833333,0.958333333333333,524.385
"sv020005",0,"match",1,"pentagon","pentagon",NA,577.885729166667,0.9375,556.7525
"sv020005",0,"match",1,"square","square",NA,584.073125,0.9375,551.0225
"sv020005",0,"match",1,"triangle","triangle",NA,545.8496875,0.9375,545.5
"sv020005",0,"match",2,"circular","circular",NA,513.780104166667,0.895833333333333,505.7175
"sv020005",0,"match",2,"pentagon","pentagon",NA,562.944895833333,0.9375,549.97
"sv020005",0,"match",2,"square","square",NA,572.85375,0.916666666666667,568.5575
"sv020005",0,"match",2,"triangle","triangle",NA,594.883020833333,0.979166666666667,583.815
"sv020005",0,"match",3,"circular","circular",NA,542.8025,0.916666666666667,523.3575
"sv020005",0,"match",3,"pentagon","pentagon",NA,632.032604166667,0.9375,594.1525
"sv020005",0,"match",3,"square","square",NA,588.018958333333,0.979166666666667,566.43
"sv020005",0,"match",3,"triangle","triangle",NA,619.610625,0.9375,606.515
"sv020005",0,"mismatch",1,"circular","triangle",NA,578.595416666667,0.979166666666667,563.595
"sv020005",0,"mismatch",1,"pentagon","circular",NA,573.984583333333,1,554.3875
"sv020005",0,"mismatch",1,"square","pentagon",NA,645.731914893617,0.895833333333333,657.835
"sv020005",0,"mismatch",1,"triangle","square",NA,618.675208333333,0.958333333333333,617.65
"sv020005",0,"mismatch",2,"circular","square",NA,593.878541666667,0.916666666666667,566.4625
"sv020005",0,"mismatch",2,"circular","triangle",NA,544.385416666667,0.916666666666667,545.8225
"sv020005",0,"mismatch",2,"pentagon","circular",NA,579.744375,0.958333333333333,571.3825
"sv020005",0,"mismatch",2,"pentagon","triangle",NA,592.535,1,585.53
"sv020005",0,"mismatch",2,"square","circular",NA,579.525833333333,0.916666666666667,580.9425
"sv020005",0,"mismatch",2,"square","pentagon",NA,694.9875,0.875,697.0925
"sv020005",0,"mismatch",2,"triangle","pentagon",NA,603.13,1,613.1
"sv020005",0,"mismatch",2,"triangle","square",NA,632.360625,1,610.1325
"sv020005",0,"mismatch",3,"circular","pentagon",NA,607.5159375,1,610.9025
"sv020005",0,"mismatch",3,"circular","square",NA,620.8840625,0.9375,620.2125
"sv020005",0,"mismatch",3,"circular","triangle",NA,629.0065625,1,619.305
"sv020005",0,"mismatch",3,"pentagon","circular",NA,609.2796875,1,634.85
"sv020005",0,"mismatch",3,"pentagon","square",NA,709.3853125,0.75,716.895
"sv020005",0,"mismatch",3,"pentagon","triangle",NA,619.298125,1,613.2375
"sv020005",0,"mismatch",3,"square","circular",NA,570.5078125,0.875,588.5775
"sv020005",0,"mismatch",3,"square","pentagon",NA,676.5440625,0.8125,692.415
"sv020005",0,"mismatch",3,"square","triangle",NA,629.755625,0.9375,622.28
"sv020005",0,"mismatch",3,"triangle","circular",NA,588.2978125,0.875,581.85
"sv020005",0,"mismatch",3,"triangle","pentagon",NA,688.1340625,0.9375,675.6275
"sv020005",0,"mismatch",3,"triangle","square",NA,663.5521875,1,660.8325
"sv020005",1,"match",1,"circular",NA,"stranger",605.496666666667,0.791666666666667,595.89
"sv020005",1,"match",1,"pentagon",NA,"friend",630.893541666667,0.895833333333333,592.845
"sv020005",1,"match",1,"square",NA,"mother",612.949375,0.916666666666667,594.5975
"sv020005",1,"match",1,"triangle",NA,"self",641.159375,0.958333333333333,621.515
"sv020005",1,"match",2,"circular",NA,"stranger",661.684479166667,0.895833333333333,629.2025
"sv020005",1,"match",2,"pentagon",NA,"friend",696.7321875,0.854166666666667,670.6325
"sv020005",1,"match",2,"square",NA,"mother",684.54125,0.916666666666667,663.01
"sv020005",1,"match",2,"triangle",NA,"self",681.595208333333,0.979166666666667,645.8525
"sv020005",1,"match",3,"circular",NA,"stranger",650.689375,0.916666666666667,636.37
"sv020005",1,"match",3,"pentagon",NA,"friend",673.185208333333,0.916666666666667,617.61
"sv020005",1,"match",3,"square",NA,"mother",687.1975,0.875,639.5275
"sv020005",1,"match",3,"triangle",NA,"self",653.4734375,0.833333333333333,637.58
