"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","mean_rt","med_rt","acc"
"sv020005",0,"match",1,"circular","circular",NA,539.289270833333,524.385,0.958333333333333
"sv020005",0,"match",1,"pentagon","pentagon",NA,555.854891304348,554.9025,0.934782608695652
"sv020005",0,"match",1,"square","square",NA,563.664130434783,544.9975,0.934782608695652
"sv020005",0,"match",1,"triangle","triangle",NA,545.8496875,545.5,0.9375
"sv020005",0,"match",2,"circular","circular",NA,513.780104166667,505.7175,0.895833333333333
"sv020005",0,"match",2,"pentagon","pentagon",NA,562.944895833333,549.97,0.9375
"sv020005",0,"match",2,"square","square",NA,572.85375,568.5575,0.916666666666667
"sv020005",0,"match",2,"triangle","triangle",NA,594.883020833333,583.815,0.979166666666667
"sv020005",0,"match",3,"circular","circular",NA,542.8025,523.3575,0.916666666666667
"sv020005",0,"match",3,"pentagon","pentagon",NA,625.75,591.92,0.936170212765957
"sv020005",0,"match",3,"square","square",NA,592.350319148936,566.685,0.978723404255319
"sv020005",0,"match",3,"triangle","triangle",NA,619.610625,606.515,0.9375
"sv020005",0,"mismatch",1,"circular","triangle",NA,567.823510638298,559.395,0.978723404255319
"sv020005",0,"mismatch",1,"pentagon","circular",NA,573.984583333333,554.3875,1
"sv020005",0,"mismatch",1,"square","pentagon",NA,636.987826086956,649.0275,0.91304347826087
"sv020005",0,"mismatch",1,"triangle","square",NA,610.417234042553,616.365,0.957446808510638
"sv020005",0,"mismatch",2,"circular","square",NA,577.400217391304,565.275,0.91304347826087
"sv020005",0,"mismatch",2,"circular","triangle",NA,544.385416666667,545.8225,0.916666666666667
"sv020005",0,"mismatch",2,"pentagon","circular",NA,579.744375,571.3825,0.958333333333333
"sv020005",0,"mismatch",2,"pentagon","triangle",NA,592.535,585.53,1
"sv020005",0,"mismatch",2,"square","circular",NA,579.525833333333,580.9425,0.916666666666667
"sv020005",0,"mismatch",2,"square","pentagon",NA,694.9875,697.0925,0.875
"sv020005",0,"mismatch",2,"triangle","pentagon",NA,603.13,613.1,1
"sv020005",0,"mismatch",2,"triangle","square",NA,617.932173913043,605.805,1
"sv020005",0,"mismatch",3,"circular","pentagon",NA,607.5159375,610.9025,1
"sv020005",0,"mismatch",3,"circular","square",NA,620.8840625,620.2125,0.9375
"sv020005",0,"mismatch",3,"circular","triangle",NA,607.507,616.535,1
"sv020005",0,"mismatch",3,"pentagon","circular",NA,609.2796875,634.85,1
"sv020005",0,"mismatch",3,"pentagon","square",NA,645.218928571429,698.4625,0.714285714285714
"sv020005",0,"mismatch",3,"pentagon","triangle",NA,619.298125,613.2375,1
"sv020005",0,"mismatch",3,"square","circular",NA,570.5078125,588.5775,0.875
"sv020005",0,"mismatch",3,"square","pentagon",NA,701.006923076923,704.95,1
"sv020005",0,"mismatch",3,"square","triangle",NA,629.755625,622.28,0.9375
"sv020005",0,"mismatch",3,"triangle","circular",NA,588.2978125,581.85,0.875
"sv020005",0,"mismatch",3,"triangle","pentagon",NA,660.522333333333,673.645,0.933333333333333
