"subj_idx","series","1_match_circular_NA","1_match_pentagon_NA","1_match_square_NA","1_match_triangle_NA","2_match_circular_NA","2_match_pentagon_NA","2_match_square_NA","2_match_triangle_NA","3_match_circular_NA","3_match_pentagon_NA","3_match_square_NA","3_match_triangle_NA","1_mismatch_circular_NA","1_mismatch_pentagon_NA","1_mismatch_square_NA","1_mismatch_triangle_NA","2_mismatch_circular_NA","2_mismatch_pentagon_NA","2_mismatch_square_NA","2_mismatch_triangle_NA","3_mismatch_circular_NA","3_mismatch_pentagon_NA","3_mismatch_square_NA","3_mismatch_triangle_NA","1_match_NA_friend","1_match_NA_mother","1_match_NA_self","1_match_NA_stranger","2_match_NA_friend","2_match_NA_mother","2_match_NA_self","2_match_NA_stranger","3_match_NA_friend","3_match_NA_mother","3_match_NA_self","3_match_NA_stranger","1_mismatch_NA_friend","1_mismatch_NA_mother","1_mismatch_NA_self","1_mismatch_NA_stranger","2_mismatch_NA_friend","2_mismatch_NA_mother","2_mismatch_NA_self","2_mismatch_NA_stranger","3_mismatch_NA_friend","3_mismatch_NA_mother","3_mismatch_NA_self","3_mismatch_NA_stranger"
"sv020005",0,524.385,554.9025,544.9975,545.5,505.7175,549.97,568.5575,583.815,523.3575,591.92,566.685,606.515,554.3875,649.0275,616.365,559.395,574.385,653.48,586.9,564.43,596.0725,655.2425,650.82,620.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020005",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.305,592.71,619.9075,593.65,660.525,659.82,643.24,626.5825,611.145,635.125,636.615,635.83,681.9925,612.98,691.385,688.3575,744.335,677.18,679.065,665.125,681.675,654.25,693.065,700.27
"sv020006",0,661.27,793.7125,707.76,679.21,651.9,690.285,662.915,630.46,642.3,627.24,658.0475,619.315,665.52,748.2925,707.1,714.9375,664.945,683.515,661.8975,654.315,632.015,671.0575,657.315,618.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020006",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820.395,686.02,670.96,787.655,729.615,668.03,647.095,703.995,713.44,688.55,665.3025,707.385,785.505,738.68,721.4,872.6425,768.0925,676.565,735.5975,743.87,746.835,688.96,765.4475,729.065
"sv020007",0,566.0575,584.46500005,567.085,585.405,577.1025,637.85249995,581.50500035,590.59499995,582.04249965,608.62000005,593.72999985,610.08250035,584.7200002,600.7300001,576.99,594.3875001,587.9575,576.51000005,592.5050001,602.3550001,579.2300003,621.6549999,606.03499995,586.3649999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020007",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.54749995,659.08999975,590.45,645.6350004,621.0450004,628.8700001,592.99000005,635.30750015,673.9750002,650.415,612.75999995,635.3549999,709.735,630.6725,610.5999998,692.20250005,649.8825001,598.34749975,607.6500001,645.96999995,680.6700001,640.9550002,668.3450001,665.2025001
"sv020008",0,518,592,557.1,561.55,583.7,721.85,634.4,596,529.8,601.75,578.4,539,575.85,623.8,599.8,597.2,714.6,693.4,712.3,700.4,574.3,608.6,575.75,594.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020008",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625.2,573,554.1,632.35,658,621.05,572.15,688.25,633.2,611,563.5,651.9,674.7,619.8,614,673.05,666.7,650.9,651.85,675.45,645.3,643.4,628.6,655.7
"sv020009",0,587.5225,662.92,593.5975,598.3825,645.67,706.39,651.645,660.115,624.655,657.83,627.5925,619.44,656.9525,720.84,625.4175,642.9475,730.425,744.76,742.795,722.315,681.75,692.095,692.625,681.4175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sv020009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.165,696.355,657.215,735.9175,690.9025,686.505,646.345,742.35,696.6475,660.295,635,703.4075,772.385,709.36,745.85,728.0725,753.2875,735.255,721.795,797.9,753.5275,741.5825,746.845,721.595
