"series","shapeEn","shapeNameEn","characterNameEn","misNum","condition","n"
0,"circular","circular",NA,1,"match",960
0,"circular","circular",NA,2,"match",960
0,"circular","circular",NA,3,"match",960
0,"circular","pentagon",NA,3,"mismatch",320
0,"circular","square",NA,2,"mismatch",480
0,"circular","square",NA,3,"mismatch",320
0,"circular","triangle",NA,1,"mismatch",960
0,"circular","triangle",NA,2,"mismatch",480
0,"circular","triangle",NA,3,"mismatch",320
0,"pentagon","circular",NA,1,"mismatch",960
0,"pentagon","circular",NA,2,"mismatch",480
0,"pentagon","circular",NA,3,"mismatch",320
0,"pentagon","pentagon",NA,1,"match",960
0,"pentagon","pentagon",NA,2,"match",960
0,"pentagon","pentagon",NA,3,"match",960
0,"pentagon","square",NA,3,"mismatch",320
0,"pentagon","triangle",NA,2,"mismatch",480
0,"pentagon","triangle",NA,3,"mismatch",320
0,"square","circular",NA,2,"mismatch",480
0,"square","circular",NA,3,"mismatch",320
0,"square","pentagon",NA,1,"mismatch",960
0,"square","pentagon",NA,2,"mismatch",480
0,"square","pentagon",NA,3,"mismatch",320
0,"square","square",NA,1,"match",960
0,"square","square",NA,2,"match",960
0,"square","square",NA,3,"match",960
0,"square","triangle",NA,3,"mismatch",320
0,"triangle","circular",NA,3,"mismatch",320
0,"triangle","pentagon",NA,2,"mismatch",480
0,"triangle","pentagon",NA,3,"mismatch",320
0,"triangle","square",NA,1,"mismatch",960
0,"triangle","square",NA,2,"mismatch",480
0,"triangle","square",NA,3,"mismatch",320
0,"triangle","triangle",NA,1,"match",960
0,"triangle","triangle",NA,2,"match",960
0,"triangle","triangle",NA,3,"match",960
1,"circular",NA,"friend",3,"mismatch",320
1,"circular",NA,"mother",2,"mismatch",480
1,"circular",NA,"mother",3,"mismatch",320
1,"circular",NA,"self",1,"mismatch",960
1,"circular",NA,"self",2,"mismatch",480
1,"circular",NA,"self",3,"mismatch",320
1,"circular",NA,"stranger",1,"match",960
1,"circular",NA,"stranger",2,"match",960
1,"circular",NA,"stranger",3,"match",960
1,"pentagon",NA,"friend",1,"match",960
1,"pentagon",NA,"friend",2,"match",960
1,"pentagon",NA,"friend",3,"match",960
1,"pentagon",NA,"mother",3,"mismatch",320
1,"pentagon",NA,"self",2,"mismatch",480
1,"pentagon",NA,"self",3,"mismatch",320
1,"pentagon",NA,"stranger",1,"mismatch",960
1,"pentagon",NA,"stranger",2,"mismatch",480
1,"pentagon",NA,"stranger",3,"mismatch",320
1,"square",NA,"friend",1,"mismatch",960
1,"square",NA,"friend",2,"mismatch",480
1,"square",NA,"friend",3,"mismatch",320
1,"square",NA,"mother",1,"match",960
1,"square",NA,"mother",2,"match",960
1,"square",NA,"mother",3,"match",960
1,"square",NA,"self",3,"mismatch",320
1,"square",NA,"stranger",2,"mismatch",480
1,"square",NA,"stranger",3,"mismatch",320
1,"triangle",NA,"friend",2,"mismatch",480
1,"triangle",NA,"friend",3,"mismatch",320
1,"triangle",NA,"mother",1,"mismatch",960
1,"triangle",NA,"mother",2,"mismatch",480
1,"triangle",NA,"mother",3,"mismatch",320
1,"triangle",NA,"self",1,"match",960
1,"triangle",NA,"self",2,"match",960
1,"triangle",NA,"self",3,"match",960
1,"triangle",NA,"stranger",3,"mismatch",320
